UserID,CourseCategory,TimeSpentOnCourse,NumberOfVideosWatched,NumberOfQuizzesTaken,QuizScores,CompletionRate,DeviceType,CourseCompletion,,Price ($),Platform,,num_reviews,created,,published_time,,num_subscribers
5618,Health,29.97971935,17,3,50.36565595,20.86077271,1,0,,38.79742459,Coursera,,78006,2016-02-14T22:57:48Z,,2016-04-06T05:16:11Z,,295509
4326,Arts,27.80263951,1,5,62.61596979,65.63241524,1,0,,160.6509909,edX,,54581,2016-08-22T12:10:18Z,,2016-08-23T16:59:49Z,,209070
5849,Arts,86.8204847,14,2,78.4589624,63.81200659,1,1,,123.503781,LinkedIn Learning,,52653,2017-09-26T16:32:48Z,,2017-11-14T23:58:14Z,,155282
4992,Science,35.03842663,17,10,59.19885273,95.43316189,0,1,,116.7757039,LinkedIn Learning,,46447,2015-10-23T13:34:35Z,,2016-01-21T01:38:48Z,,245860
3866,Programming,92.49064696,16,0,98.428285,18.10247753,0,0,,96.24669563,Udemy,,41630,2015-10-12T06:39:46Z,,2016-01-11T21:39:33Z,,374836
8650,Health,79.46612884,12,7,70.23332895,76.48402325,0,1,,127.5099202,edX,,38093,2017-05-08T13:03:21Z,,2017-05-15T18:48:54Z,,124180
4321,Health,78.90872424,10,2,86.83653261,22.58889614,1,0,,155.5411168,Coursera,,30470,2016-05-30T22:57:40Z,,2016-06-23T17:49:26Z,,96207
4589,Business,12.06823675,16,3,61.55364646,27.41099087,1,0,,79.94094433,edX,,28665,2014-10-17T08:39:52Z,,2014-11-25T23:00:40Z,,127680
4215,Business,81.93570918,8,4,90.26456415,33.30843668,0,1,,174.6774799,LinkedIn Learning,,27408,2015-11-18T19:35:12Z,,2016-03-17T17:04:59Z,,112572
8089,Programming,83.39402571,15,10,63.95635296,33.26129953,1,0,,82.09481901,edX,,23906,2018-04-19T07:00:09Z,,2018-04-25T18:40:55Z,,115269
5010,Science,55.44885317,3,7,57.50783649,80.63469703,0,0,,194.0497336,edX,,23580,2018-02-25T19:08:58Z,,2018-04-26T17:06:36Z,,86715
8791,Arts,27.26533064,17,9,70.99850119,0.128336323,0,0,,62.06278646,LinkedIn Learning,,23326,2016-02-03T23:00:19Z,,2016-02-21T21:40:32Z,,82015
4101,Arts,12.26248379,13,1,68.54184824,48.91869024,1,0,,187.5110048,Coursera,,22595,2015-09-16T15:18:48Z,,2015-10-09T20:54:44Z,,68148
3039,Programming,33.79016765,1,5,97.70588954,77.31223562,0,1,,50.72613534,edX,,21537,2017-07-11T17:01:20Z,,2017-08-25T00:48:17Z,,76812
3379,Science,40.78797209,7,3,72.02018992,87.4761995,1,1,,194.8424212,LinkedIn Learning,,21436,2017-10-23T15:17:41Z,,2017-10-25T05:29:35Z,,78968
5700,Science,37.74623795,10,8,93.30974857,95.89032172,0,1,,24.66602546,Coursera,,21421,2017-05-03T17:04:31Z,,2017-08-17T17:53:15Z,,182002
7567,Programming,36.36982128,8,10,71.7402766,43.54888955,1,1,,60.79261168,Udemy,,21394,2016-10-27T21:39:22Z,,2017-02-23T18:42:20Z,,114945
8772,Health,26.67976913,15,8,64.15505767,21.18477769,1,0,,147.7579773,LinkedIn Learning,,19970,2016-09-23T07:55:41Z,,2016-10-10T16:16:26Z,,88468
6817,Business,11.17804761,20,5,78.02583213,55.69746684,0,0,,45.05792075,edX,,19328,2015-07-21T12:08:25Z,,2015-11-01T18:25:10Z,,72442
2866,Health,56.70844279,6,8,81.3806345,49.17691112,0,1,,18.86043394,LinkedIn Learning,,18322,2016-10-10T06:34:58Z,,2016-10-12T16:51:08Z,,239309
3134,Science,90.89545276,11,9,82.80335561,76.06002032,1,1,,19.11184521,LinkedIn Learning,,17617,2016-12-08T13:48:36Z,,2017-03-30T22:17:09Z,,83072
2716,Science,19.22006245,6,4,70.24297667,69.88922263,1,1,,140.8863087,Udemy,,17016,2014-09-26T22:56:36Z,,2014-12-12T23:58:39Z,,67329
3153,Arts,24.98875003,6,9,64.48616706,7.433288005,1,0,,135.3008741,Coursera,,17013,2016-06-26T14:37:28Z,,2016-06-28T06:12:23Z,,140676
6584,Business,33.48224411,3,9,59.87587068,78.5832072,0,0,,66.15181048,Udemy,,15956,2016-08-31T20:26:36Z,,2017-04-15T00:18:29Z,,50037
230,Science,57.66836487,0,5,92.00831477,35.024928,0,0,,135.8662128,Coursera,,14255,2016-08-31T22:25:31Z,,2016-09-04T16:31:00Z,,48055
8813,Programming,33.80791568,12,1,53.65976057,89.95255275,0,1,,178.4726812,Udemy,,14006,2017-03-21T16:23:55Z,,2017-04-19T05:59:26Z,,74011
3103,Programming,48.54343463,3,7,50.46763176,50.99683172,0,0,,120.6397686,Coursera,,12478,2014-04-09T07:34:01Z,,2014-04-30T02:11:11Z,,102727
1274,Science,56.94215602,7,6,80.37425848,61.12697846,0,1,,90.563899,Coursera,,11977,2018-11-08T01:07:12Z,,2018-11-10T22:07:04Z,,49877
2398,Programming,40.8134818,15,0,55.02883721,56.94624077,0,0,,159.1091897,edX,,11660,2014-04-23T00:26:17Z,,2014-11-21T15:06:47Z,,59141
8529,Programming,12.80524622,6,9,51.85830564,86.30231757,0,0,,115.2647965,Udemy,,11529,2015-07-24T08:15:57Z,,2015-09-13T17:13:01Z,,38698
7858,Arts,64.89874149,13,6,97.34019871,68.02150505,1,1,,113.6210873,edX,,11007,2016-01-21T06:13:58Z,,2016-02-01T21:24:57Z,,85042
7050,Programming,44.70916759,5,8,76.94121802,17.54193412,0,0,,144.8470594,LinkedIn Learning,,10979,2016-08-31T11:01:06Z,,2016-10-05T22:49:07Z,,63084
